"","alias","abbr","vote","noOfLgas","lgaCollated","registeredVote","totalVote","slug","updatedAt"
"39","akwa_ibom","AA",289,31,31,2357418,555089,"0df2efae-5912-43aa-aaa7-54ca4a2539c2","2023-02-28T17:12:03.152642"
"40","akwa_ibom","AAC",626,31,31,2357418,555089,"0df2efae-5912-43aa-aaa7-54ca4a2539c2","2023-02-28T17:12:03.152642"
"41","akwa_ibom","ADC",2265,31,31,2357418,555089,"0df2efae-5912-43aa-aaa7-54ca4a2539c2","2023-02-28T17:12:03.152642"
"42","akwa_ibom","PDP",214012,31,31,2357418,555089,"0df2efae-5912-43aa-aaa7-54ca4a2539c2","2023-02-28T17:12:03.152642"
"43","akwa_ibom","ADP",811,31,31,2357418,555089,"0df2efae-5912-43aa-aaa7-54ca4a2539c2","2023-02-28T17:12:03.152642"
"44","akwa_ibom","PRP",343,31,31,2357418,555089,"0df2efae-5912-43aa-aaa7-54ca4a2539c2","2023-02-28T17:12:03.152642"
"45","akwa_ibom","APC",160620,31,31,2357418,555089,"0df2efae-5912-43aa-aaa7-54ca4a2539c2","2023-02-28T17:12:03.152642"
"46","akwa_ibom","SDP",583,31,31,2357418,555089,"0df2efae-5912-43aa-aaa7-54ca4a2539c2","2023-02-28T17:12:03.152642"
"47","akwa_ibom","YPP",27179,31,31,2357418,555089,"0df2efae-5912-43aa-aaa7-54ca4a2539c2","2023-02-28T17:12:03.152642"
"48","akwa_ibom","APGA",783,31,31,2357418,555089,"0df2efae-5912-43aa-aaa7-54ca4a2539c2","2023-02-28T17:12:03.152642"
"49","akwa_ibom","APM",599,31,31,2357418,555089,"0df2efae-5912-43aa-aaa7-54ca4a2539c2","2023-02-28T17:12:03.152642"
"50","akwa_ibom","NNPP",7796,31,31,2357418,555089,"0df2efae-5912-43aa-aaa7-54ca4a2539c2","2023-02-28T17:12:03.152642"
"51","akwa_ibom","NRM",667,31,31,2357418,555089,"0df2efae-5912-43aa-aaa7-54ca4a2539c2","2023-02-28T17:12:03.152642"
"52","akwa_ibom","APP",325,31,31,2357418,555089,"0df2efae-5912-43aa-aaa7-54ca4a2539c2","2023-02-28T17:12:03.152642"
"53","akwa_ibom","BP",524,31,31,2357418,555089,"0df2efae-5912-43aa-aaa7-54ca4a2539c2","2023-02-28T17:12:03.152642"
"54","akwa_ibom","LP",132683,31,31,2357418,555089,"0df2efae-5912-43aa-aaa7-54ca4a2539c2","2023-02-28T17:12:03.152642"
"55","anambra","A",343,21,21,2656437,613861,"33afbbe8-d6dc-461b-954f-7dfbc9b9ec3b","2023-02-28T22:17:18.633884"
"56","anambra","AA",108,21,21,2656437,613861,"33afbbe8-d6dc-461b-954f-7dfbc9b9ec3b","2023-02-28T22:17:18.633884"
"57","anambra","AAC",112,21,21,2656437,613861,"33afbbe8-d6dc-461b-954f-7dfbc9b9ec3b","2023-02-28T22:17:18.633884"
"58","anambra","ADC",208,21,21,2656437,613861,"33afbbe8-d6dc-461b-954f-7dfbc9b9ec3b","2023-02-28T22:17:18.633884"
"59","anambra","ADP",299,21,21,2656437,613861,"33afbbe8-d6dc-461b-954f-7dfbc9b9ec3b","2023-02-28T22:17:18.633884"
"60","anambra","NNPP",1967,21,21,2656437,613861,"33afbbe8-d6dc-461b-954f-7dfbc9b9ec3b","2023-02-28T22:17:18.633884"
"61","anambra","NRM",118,21,21,2656437,613861,"33afbbe8-d6dc-461b-954f-7dfbc9b9ec3b","2023-02-28T22:17:18.633884"
"62","anambra","PDP",9036,21,21,2656437,613861,"33afbbe8-d6dc-461b-954f-7dfbc9b9ec3b","2023-02-28T22:17:18.633884"
"63","anambra","APC",5111,21,21,2656437,613861,"33afbbe8-d6dc-461b-954f-7dfbc9b9ec3b","2023-02-28T22:17:18.633884"
"64","anambra","APGA",7388,21,21,2656437,613861,"33afbbe8-d6dc-461b-954f-7dfbc9b9ec3b","2023-02-28T22:17:18.633884"
"65","anambra","APM",325,21,21,2656437,613861,"33afbbe8-d6dc-461b-954f-7dfbc9b9ec3b","2023-02-28T22:17:18.633884"
"66","anambra","APP",148,21,21,2656437,613861,"33afbbe8-d6dc-461b-954f-7dfbc9b9ec3b","2023-02-28T22:17:18.633884"
"67","anambra","BP",514,21,21,2656437,613861,"33afbbe8-d6dc-461b-954f-7dfbc9b9ec3b","2023-02-28T22:17:18.633884"
"68","anambra","LP",584621,21,21,2656437,613861,"33afbbe8-d6dc-461b-954f-7dfbc9b9ec3b","2023-02-28T22:17:18.633884"
"69","anambra","ZLP",1420,21,21,2656437,613861,"33afbbe8-d6dc-461b-954f-7dfbc9b9ec3b","2023-02-28T22:17:18.633884"
"70","anambra","PRP",62,21,21,2656437,613861,"33afbbe8-d6dc-461b-954f-7dfbc9b9ec3b","2023-02-28T22:17:18.633884"
"71","anambra","SDP",84,21,21,2656437,613861,"33afbbe8-d6dc-461b-954f-7dfbc9b9ec3b","2023-02-28T22:17:18.633884"
"72","anambra","YPP",1997,21,21,2656437,613861,"33afbbe8-d6dc-461b-954f-7dfbc9b9ec3b","2023-02-28T22:17:18.633884"
"73","bauchi","APC",316694,20,20,2749268,853516,"e30fd085-46a9-4443-8a76-41f71a197320","2023-02-28T17:45:31.956178"
"74","bauchi","APGA",906,20,20,2749268,853516,"e30fd085-46a9-4443-8a76-41f71a197320","2023-02-28T17:45:31.956178"
"75","bauchi","APM",489,20,20,2749268,853516,"e30fd085-46a9-4443-8a76-41f71a197320","2023-02-28T17:45:31.956178"
"76","bauchi","AA",399,20,20,2749268,853516,"e30fd085-46a9-4443-8a76-41f71a197320","2023-02-28T17:45:31.956178"
"77","bauchi","APP",215,20,20,2749268,853516,"e30fd085-46a9-4443-8a76-41f71a197320","2023-02-28T17:45:31.956178"
"78","bauchi","BP",224,20,20,2749268,853516,"e30fd085-46a9-4443-8a76-41f71a197320","2023-02-28T17:45:31.956178"
"79","bauchi","LP",27373,20,20,2749268,853516,"e30fd085-46a9-4443-8a76-41f71a197320","2023-02-28T17:45:31.956178"
"80","bauchi","NNPP",72103,20,20,2749268,853516,"e30fd085-46a9-4443-8a76-41f71a197320","2023-02-28T17:45:31.956178"
